XML,portal,orientation,veracity,url
0000.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/impact-debates-debatable/story?id=42176433&amp;cid=abcnp_fb
0001.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/source-suspect-wanted-nyc-area-bombing/story?id=42190675&amp;cid=abcnp_fb
0002.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trump-repeats-calls-police-profiling-nyc-explosion/story?id=42191664&amp;cid=abcnp_fb
0003.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/bombing-incidences-ny-nj-linked-sources/story?id=42190095&amp;cid=abcnp_fb
0004.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/trump-surrogates-push-narrative-clinton-started-birtherism/story?id=42176658&amp;cid=abcnp_fb
0005.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/woman-killed-children-injured-airstrikes-aleppo/story?id=42191300&amp;cid=abcnp_fb
0006.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/syrian-military-us-russia-brokered-ceasefire/story?id=42198664&amp;cid=abcnp_fb
0007.xml,abc,mainstream,no factual content,http://abcnews.go.com/Politics/strait-talk-matt-lz-stream-live-detroit-september/story?id=42091125&amp;cid=abcnp_fb
0008.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/ivanka-trump-secret-service-protection/story?id=42196407&amp;cid=abcnp_fb
0009.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/obama-describes-trumps-presidential-run-infomerical-reality-show/story?id=42185191&amp;cid=abcnp_fb
0010.xml,abc,mainstream,mostly true,http://web.archive.org/web/20160920123248/http://abcnews.go.com/International/wireStory/influential-san-francisco-activist-rose-pak-dies-68-42190475
0011.xml,abc,mainstream,mostly true,http://web.archive.org/web/20160923182935/http://abcnews.go.com/US/wireStory/minnesota-mall-stabbing-realization-terror-fears-42188133
0012.xml,abc,mainstream,mostly true,http://web.archive.org/web/20160920154511/http://abcnews.go.com/US/wireStory/years-gridlock-jersey-bridge-case-trial-42187934
0013.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/terrorist-attacks-impact-2016-presidential-race-experts/story?id=42192997&amp;cid=abcnp_fb
0014.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/ivanka-trump-meets-speaker-ryan-york-city/story?id=42205844&amp;cid=abcnp_fb
0015.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-accepts-millennial-voters-questions/story?id=42202172&amp;cid=abcnp_fb
0016.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/presidential-debate-week/story?id=42193163&amp;cid=abcnp_fb
0017.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/russians-voting-parliamentary-election-dullest/story?id=42176019&amp;cid=abcnp_fb
0018.xml,abc,mainstream,mostly true,http://web.archive.org/web/20160921200556/http://abcnews.go.com/US/wireStory/search-suspects-shooting-put-marine-death-42214536
0019.xml,abc,mainstream,mixture of true and false,http://abcnews.go.com/Politics/report-george-hw-bush-vote-hillary-clinton/story?id=42212986&amp;cid=abcnp_fb
0020.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/presidential-debates/story?id=41482391&amp;cid=abcnp_fb
0021.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/ny-nj-bombings-suspect-visited-taliban-stronghold-pakistan/story?id=42214798&amp;cid=abcnp_fb
0022.xml,abc,mainstream,mostly true,http://abcnews.go.com/ABCNews/donald-trump-jr-compares-syrian-refugees-skittles/story?id=42214535&amp;cid=abcnp_fb
0023.xml,abc,mainstream,mostly true,http://web.archive.org/web/20160924113439/http://abcnews.go.com/Politics/wireStory/republicans-turnaround-indiana-senate-race-42214328
0024.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/obama-recaps-presidency-final-general-assembly-address/story?id=42198280&amp;cid=abcnp_fb
0025.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/humanitarian-assistance-syria-suspended-attack-aid-convoy/story?id=42216263&amp;cid=abcnp_fb
0026.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trump-jrs-skittles-tweet-highlights-key-campaign/story?id=42218871&amp;cid=abcnp_fb
0027.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/nyc-bombing-suspects-journal-recovered-officials/story?id=42223549&amp;cid=abcnp_fb
0028.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/fbi-opened-previous-inquiry-bombing-suspect-ahmad-khan/story?id=42201580&amp;cid=abcnp_fb
0029.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-calls-tulsa-police-shooting-horrible-reiterates/story?id=42229444&amp;cid=abcnp_fb
0030.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-slated-spend-53-times-donald-trump/story?id=42230361&amp;cid=abcnp_fb
0031.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/clinton-camp-slams-trump-allegations-charity-paid-business/story?id=42226604&amp;cid=abcn_tco
0032.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/violent-protests-erupt-charlotte-deadly-police-shooting/story?id=42238697&amp;cid=abcnp_fb
0033.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/refugee-skittles-photo-donald-trump-jr-anti-refugee/story?id=42232395&amp;cid=abcnp_fb
0034.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/bernie-sanders-deliver-youth-vote-hillary-clinton/story?id=42245786&amp;cid=abcnp_fb
0035.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/trump-paying-fmr-campaign-manager-lewandowski-consultant/story?id=42241976&amp;cid=abcnp_fb
0036.xml,abc,mainstream,mixture of true and false,http://abcnews.go.com/Politics/george-hw-bush-hell-vote-hillary-clinton-foundation/story?id=42236795&amp;cid=abcnp_fb
0037.xml,abc,mainstream,mostly true,http://web.archive.org/web/20160924122619/http://abcnews.go.com/Politics/wireStory/reports-groups-spending-big-trump-clinton-42241834
0038.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/john-kerry-makes-impassioned-plea-united-nations-syria/story?id=42251137&amp;cid=abcnp_fb
0039.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/michelle-obama-melania-trumps-controversial-convention-speech-tough/story?id=42246650&amp;cid=abcnp_fb
0040.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-bolstered-latest-national-poll-leads-donald/story?id=42262038&amp;cid=abcnp_fb
0041.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/isis-figure-referenced-nyc-bombers-purported-journal/story?id=42258417&amp;cid=abcnp_fb
0042.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/senate-votes-advance-115-billion-saudi-arms-deal/story?id=42251293&amp;cid=abcnp_fb
0043.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trump-calls-nationwide-stop-frisk-policy/story?id=42261880&amp;cid=abcnp_fb
0044.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/worrying-hillary-clinton-donald-trumps-campaigns-ahead-debate/story?id=42262305&amp;cid=abcnp_fb
0045.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/bill-clinton-calls-clinton-global-initiative-great-honors/story?id=42246823&amp;cid=abcnp_fb
0046.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/russia-trump-political-conflict-zone/story?id=42263092&amp;cid=abcnp_fb
0047.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/house-committee-votes-hold-clinton-staffer-contempt-congress/story?id=42282402&amp;cid=abcnp_fb
0048.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trump-drugs-big-factor-charlotte-protests/story?id=42282437&amp;cid=abcnp_fb
0049.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/secret-service-investigates-alleged-hack-compromised-ladys-passport/story?id=42283622&amp;cid=abcnp_fb
0050.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/anthony-weiner-federal-investigation-alleged-sexting-minor/story?id=42291468&amp;cid=abcnp_fb
0051.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/michael-dukakis-debate-advice-hillary-clinton/story?id=42289109&amp;cid=abcnp_fb
0052.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trumps-praise-stop-frisk-odds-court-ruling/story?id=42276382&amp;cid=abcnp_fb
0053.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-jokes-donald-trump-ferns-interview/story?id=42281177&amp;cid=abcnp_fb
0054.xml,abc,mainstream,mostly true,http://abcnews.go.com/Business/senators-labor-department-investigate-wells-fargo-accounts-scandal/story?id=42284239&amp;cid=abcnp_fb
0055.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/maureen-dowd-donald-trumps-ego-arithmetic-hasnt-changed/story?id=42285351&amp;cid=abcnp_fb
0056.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/clinton-campaign-video-hitting-trump-comments-women/story?id=42297907&amp;cid=abcnp_fb
0057.xml,abc,mainstream,mostly true,https://twitter.com/GMA/status/779295605268942849
0058.xml,abc,mainstream,mostly true,http://web.archive.org/web/20160924165828/http://abcnews.go.com/International/wireStory/dozens-bodies-retrieved-egypt-boat-tragedy-42301780
